7356 20
so	1.941	-0.766	2.839	-5.560	-3.396	0.184	-4.882	1.832	1.889	2.153	3.010	1.762	-1.212	-0.332	-0.911	0.720	2.807	0.269	-2.140	2.815
people	-2.246	0.874	5.104	-0.193	-1.520	1.584	-5.389	-0.204	3.196	-2.303	-0.305	2.736	-0.052	0.345	2.153	2.371	-2.664	3.958	1.127	-3.461
however	-0.713	-2.092	2.714	-1.781	-2.623	-0.546	-3.613	4.520	0.978	0.297	1.201	-0.397	0.118	0.409	-0.017	-2.884	-1.433	1.460	-3.910	1.929
between	0.934	-4.258	0.073	1.821	-3.351	-1.385	-2.837	4.123	-2.169	0.786	-2.839	0.425	4.503	-2.039	0.589	1.720	-0.325	2.041	-3.221	-0.036
!	3.731	2.813	1.456	-6.999	-5.000	5.280	-4.945	-4.895	0.718	-2.590	5.048	9.067	-3.112	0.446	-4.626	1.165	3.091	0.776	-0.508	-2.639
over	-3.930	-2.763	-0.588	-2.241	-1.092	0.030	-1.854	5.962	0.498	0.102	-1.058	1.566	3.176	0.445	-1.151	-0.125	1.054	1.908	-2.707	-0.506
years	-7.292	1.200	-1.683	-1.922	1.654	3.988	0.377	5.695	2.927	-4.347	0.033	0.493	-0.367	-2.217	-1.257	-0.494	0.632	6.912	-6.559	0.970
states	-6.235	2.048	-0.924	7.146	-1.892	1.458	-2.411	5.419	-0.901	1.889	-2.467	-0.400	1.161	-3.431	5.207	-4.796	-4.234	1.232	-0.795	-2.782
up	-1.616	0.739	-1.518	-6.759	-1.107	1.636	-2.156	4.447	0.574	1.173	1.922	2.115	-0.081	1.865	-0.105	3.424	3.162	-0.088	-0.286	0.568
during	-5.128	-1.538	-3.772	-1.859	-2.310	-1.482	2.612	7.349	0.086	-2.863	0.777	0.675	0.586	-1.484	-3.866	0.160	-4.553	3.430	-4.029	-2.458
war	-1.191	2.997	-0.645	3.354	0.976	-0.895	4.428	11.434	-0.241	-2.223	1.297	0.533	-1.114	-2.874	-0.489	-0.710	-6.015	3.426	-2.903	-10.067
use	0.049	-3.608	3.803	-3.123	-5.853	-3.691	-1.219	-1.675	-2.525	0.613	-0.227	-2.338	-0.030	2.027	2.113	-4.264	1.336	0.229	-1.664	-0.784
